match_id,game_id,team,score_team,opponent,score_opp,win_lose,map,map_pick,player_id,player,agent,rating,acs,kill,death,assist,kast%,adr,hs%,fk,fd
712804,0,Team Liquid,6,Eternal Fire,13,opponent win,N/A,N/A,0,Izzy,Unknown,0.91,121,3,2,1,67,65,13,1,0
712804,0,Team Liquid,2,Eternal Fire,13,opponent win,N/A,N/A,0,Izzy,Unknown,1.31,280,5,1,4,92,164,26,5,1
712804,0,Team Liquid,6,Eternal Fire,13,opponent win,N/A,N/A,0,Kicks,Unknown,0.70,193,5,4,1,57,133,24,0,0
712804,0,Team Liquid,2,Eternal Fire,13,opponent win,N/A,N/A,0,Kicks,Unknown,0.58,70,3,2,1,67,35,0,0,0
712804,0,Team Liquid,6,Eternal Fire,13,opponent win,N/A,N/A,0,LohaN,Unknown,1.14,265,2,0,2,71,168,11,1,1
712804,0,Team Liquid,2,Eternal Fire,13,opponent win,N/A,N/A,0,LohaN,Unknown,0.02,37,1,1,0,58,37,29,0,0
712804,0,Team Liquid,6,Eternal Fire,13,opponent win,N/A,N/A,0,audaz,Unknown,0.83,131,6,4,2,58,100,33,2,0
712804,0,Team Liquid,2,Eternal Fire,13,opponent win,N/A,N/A,0,audaz,Unknown,1.46,221,10,1,9,83,142,56,1,1
712804,0,Team Liquid,6,Eternal Fire,13,opponent win,N/A,N/A,0,echo,Unknown,1.26,274,3,1,2,83,180,19,1,0
712804,0,Team Liquid,2,Eternal Fire,13,opponent win,N/A,N/A,0,echo,Unknown,1.00,172,5,2,3,75,129,44,0,0
712804,0,Team Liquid,6,Eternal Fire,13,opponent win,N/A,N/A,0,kamo,Unknown,0.88,212,6,4,2,86,157,29,0,0
712804,0,Team Liquid,2,Eternal Fire,13,opponent win,N/A,N/A,0,kamo,Unknown,0.56,106,1,0,1,33,58,0,1,1
712804,0,Team Liquid,6,Eternal Fire,13,opponent win,N/A,N/A,0,nekky,Unknown,1.21,216,4,2,2,67,159,35,1,1
712804,0,Team Liquid,2,Eternal Fire,13,opponent win,N/A,N/A,0,nekky,Unknown,1.11,193,5,0,5,83,157,29,0,0
712804,0,Team Liquid,6,Eternal Fire,13,opponent win,N/A,N/A,0,purp0,Unknown,0.78,138,3,2,1,57,86,43,1,2
712804,0,Team Liquid,2,Eternal Fire,13,opponent win,N/A,N/A,0,purp0,Unknown,0.03,46,1,0,1,67,46,0,0,1
712804,0,Team Liquid,6,Eternal Fire,13,opponent win,N/A,N/A,0,trexx,Unknown,0.30,64,9,5,4,43,47,11,0,2
712804,0,Team Liquid,2,Eternal Fire,13,opponent win,N/A,N/A,0,trexx,Unknown,0.17,77,6,6,0,33,35,33,0,0
712805,0,FNATIC,15,GIANTX,13,team win,N/A,N/A,0,Alfajer,Unknown,1.51,282,6,0,6,86,187,25,2,1
712805,0,FNATIC,13,GIANTX,9,team win,N/A,N/A,0,Alfajer,Unknown,1.49,294,1,1,0,75,180,33,4,1
712805,0,FNATIC,15,GIANTX,13,team win,N/A,N/A,0,Boaster,Unknown,0.98,162,8,3,5,86,107,21,1,2
712805,0,FNATIC,13,GIANTX,9,team win,N/A,N/A,0,Boaster,Unknown,0.77,184,9,3,6,83,98,32,0,1
712805,0,FNATIC,15,GIANTX,13,team win,N/A,N/A,0,Cloud,Unknown,1.44,260,17,7,10,79,168,13,0,0
712805,0,FNATIC,13,GIANTX,9,team win,N/A,N/A,0,Cloud,Unknown,1.80,313,7,3,4,83,183,22,2,0
712805,0,FNATIC,15,GIANTX,13,team win,N/A,N/A,0,Flickless,Unknown,0.94,151,10,4,6,64,100,20,3,1
712805,0,FNATIC,13,GIANTX,9,team win,N/A,N/A,0,Flickless,Unknown,0.62,84,9,5,4,60,60,67,0,2
712805,0,FNATIC,15,GIANTX,13,team win,N/A,N/A,0,Jesse,Unknown,1.02,161,10,4,6,71,122,30,0,1
712805,0,FNATIC,13,GIANTX,9,team win,N/A,N/A,0,Jesse,Unknown,1.04,235,5,2,3,80,182,31,0,1
712805,0,FNATIC,15,GIANTX,13,team win,N/A,N/A,0,ara,Unknown,0.99,265,3,1,2,64,167,12,4,2
